,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,
PLANILLA DE MOLDES,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN NP,,,,,,,MOLDE,,,,,,CARTULINA,,,,TROQUELADO,,,,COMENTARIOS,PLANILLA,
INGRESO LAYOUT,NOMBRE DEL OPERADOR ,NP,CLIENTE ,RUBRO ,SOLICITUD ,FECHA DE ENTREGA ,FORMATO ,TIRAJE ,STATUS ,NP ANTIGUA ,NP ORIGEN ,CODIGO DE MOLDE ,SUSTRATO ,GRAMAJE ,EMPLACADO ,LAMINADO ,TROQUELADO ,PINZA ,SEPARACION ,EXTRAS ,,LAYOUT,MOLDE 
27/05/20,________,13823,SYNTHON ,,_____________,03/06/20,720X500 ,7.000,MOLDE NUEVO,________,________,,CM REAL RB ,295 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
28/05/20,________,13822,CHILE ,,_____________,15/06/20,720X830,11.200,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,255 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
28/05/20,________,13825,MEDIPHARMA ,,_____________,15/06/20,1050X740,28.500,MOLDE NUEVO,________,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
28/05/20,________,13829,SUPERFRUIT ,,_____________,15/06/20,690X970,27.400,HAY MOLDE,13704,________,,FORTRESS CS 18 PT CC,365 GRS,________________________,________,TROQUELADO,_____,SEPARACIÓN DE POSE (6MM),________,,OK,OK
28/05/20,________,13832,NOVARTIS ,,_____________,01/08/20,360 X500 ,400,HAY MOLDE,13510,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
29/05/20,________,13830,RECALCINE ,,_____________,16/06/20,900X750,25.000,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,295 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
29/05/20,________,13831,PERNOD RICARD ,,_____________,04/06/20,800X540,2.800,MOLDE NUEVO,________,________,,CARTA ELEGA ,380 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
29/05/20,________,13833,SOUTH WIND ,,_____________,12/06/20,1020X720,26.300,HAY MOLDE,13376,________,,CARTA DEDICA ,345 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
29/05/20,________,13834,CAROZZI ,,_____________,13/07/20,730X840,20.400,HAY MOLDE,13745,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
01/06/20,________,13827,MEDIPHARM ,,_____________,15/06/20,770X670,36.600,MOLDE NUEVO,________,________,,CARTA DEDICA ,245 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
01/06/20,________,13836,ABBVIE ,,_____________,15/06/20,730X360 ,900,HAY MOLDE,6840,________,,CM REAL RB ,280 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
01/06/20,________,13840,NOVARTIS ,,_____________,05/06/20,350X500 ,400,HAY MOLDE,13492,________,,FASSCOVER NEGRO,________,________________________,________,TROQUELADO CON MEDIO CORTE,_____,_____________,________,,OK,OK
01/06/20,________,13841,BAGO ,,_____________,17/06/20,890X630,25.200,MOLDE NUEVO,________,________,,CARTA DEDICA ,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
02/06/20,________,13835,HOFFMAN ,,_____________,15/06/20,1250 X910,81.700,HAY MOLDE,12868,________,,CARTA DEDICA ,230 GRS,________________________,________,TROQUELADO,_____,_____________,RELIEVE,,OK,OK
02/06/20,________,13838,BAGO ,,_____________,17/06/20,890X700,15.200,MOLDE NUEVO,________,________,,CARTA DEDICA ,255 GRS,________________________,________,TROQUELADO,_____,_____________,BRAILE,,OK,OK
03/06/20,________,13843,RECALCINE ,,_____________,23/06/20,800X750,14.600,MOLDE NUEVO,________,________,,CARTA SOLIDA RB,260 GRS,________________________,________,TROQUELADO,_____,_____________,________,,OK,OK
03/06/20,________,13847,CAROZZI ,,_____________,16/06/20,1010X710,35.000,HAY MOLDE,11928,________,,CARTA DEDICA ,245 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
03/06/20,________,13848,DOLE ,,_____________,18/06/20,840X490,21.000,HAY MOLDE,13848,________,,AVANTA PRIMA RB ,220 GRS,________________________,________,TROQUELADO ,_____,_____________,________,,OK,OK
04/06/20,________,13850,SALMONES MULTIEXPORT ,,_____________,22/06/20,1070X760/1070X620,55.000,MOLDE NUEVO,________,________,,MB PRO FSB ,290 GRS,________________________,________,TROQUELADO CON DESGAJE DINAMICO,_____,_____________,________,,OK,OK
